molecule_chembl_id,clean_smiles,pIC50
CHEMBL1088348,CC1=C(C(=O)Nc2ccc(C)cc2)C(c2ccc(O)cc2O)NC(NCc2ccccc2)=N1,4.628932137728263
CHEMBL1088901,CN(C)CCCC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,6.721246399047171
CHEMBL1088931,O=C(Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3cccc(N4CCOCC4)c3)n2)c1)c1c(F)cccc1F,8.207608310501746
CHEMBL1089203,C#Cc1cccc(Nc2ccnc3cc(OCCOC)c(OCCOC)cc23)c1,6.995699914119041
CHEMBL1089524,CN(C)CCCC(=O)Nc1ccc2nccc(Nc3cccc(Br)c3)c2c1,8.769551078621726
CHEMBL1090350,O=C(Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)c1)c1ccccc1,8.102372908709558
CHEMBL1090351,O=C(Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)c1)c1c(F)cccc1F,8.721246399047171
CHEMBL1090352,O=C(CC1CCCCC1)Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)c1,6.060480747381382
CHEMBL1090353,O=C(CC1CCCC1)Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)c1,6.180456064458132
CHEMBL1090354,O=C(Nc1ccccc1)Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)c1,7.0
CHEMBL1090355,O=C(Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)c1)Oc1ccccc1,6.721246399047171
CHEMBL1090356,O=C(Cc1ccccc1)Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)c1,7.200659450546418
CHEMBL1090357,CN(C)CCc1ccc(Nc2nccc(-c3c(-c4cccc(NC(=O)c5c(F)cccc5F)c4)nc4sccn34)n2)cc1,7.882741358243656
CHEMBL1090358,CCN1CCN(c2ccc(Nc3nccc(-c4c(-c5cccc(NC(=O)c6c(F)cccc6F)c5)nc5sccn45)n3)cc2)CC1,8.159379381312206
CHEMBL1090359,O=C(Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3ccc4c(c3)CCNC4)n2)c1)c1c(F)cccc1F,8.638272163982407
CHEMBL1090360,O=C(Cc1ccccc1)Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3cccc(N4CCOCC4)c3)n2)c1,6.733241068991516
CHEMBL1090361,CN1CCc2cc(Nc3nccc(-c4c(-c5cccc(NC(=O)Cc6ccccc6)c5)nc5sccn45)n3)ccc2C1,7.2441251443275085
CHEMBL1090362,CCN1CCN(c2ccc(Nc3nccc(-c4c(-c5cccc(NC(=O)Cc6ccccc6)c5)nc5sccn45)n3)cc2)CC1,7.1259059864969
CHEMBL1090363,CN(C)CCc1cccc(Nc2nccc(-c3c(-c4cccc(NC(=O)Cc5ccccc5)c4)nc4sccn34)n2)c1,7.619788758288394
CHEMBL1090364,O=C(Cc1ccccc1)Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3ccc4c(c3)CCNC4)n2)c1,7.096910013008056
CHEMBL1090840,C=CC(=O)Nc1ccc2nccc(Nc3cccc(Br)c3)c2c1,8.494850021680094
CHEMBL1091613,O=C(Nc1cccc(-c2nc3sccn3c2-c2ccncc2)c1)c1ccccc1Cl,6.619788758288394
CHEMBL109212,CCOc1cc2ncc(C#N)c(Nc3cccc(Br)c3)c2cc1OCC,6.3799993576999325
CHEMBL1092250,C#Cc1cccc(Nc2ccnc3cc(OC)c(OC)cc23)c1,7.548998554324635
CHEMBL1092382,CCC(=O)Nc1ccc2nccc(Nc3cccc(Br)c3)c2c1,7.795880017344075
CHEMBL109259,COc1cc2c(C#N)cnc(Nc3cccc(Cl)c3)c2cc1OC,4.050000018582057
CHEMBL109296,CCNc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1,5.346787486224656
CHEMBL1093099,Nc1nc(N)c2c(n1)[nH]c1cccc(Sc3ccccc3)c12,4.821886747685368
CHEMBL1093100,Cc1ccc(Sc2cccc3[nH]c4nc(N)nc(N)c4c23)cc1,4.982549270489463
CHEMBL1093234,O=C(Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3ccccc3)n2)c1)c1ccccc1,7.259637310505756
CHEMBL1093235,O=[N+]([O-])c1cccc(-c2nc3sccn3c2-c2ccnc(Nc3ccccc3)n2)c1,6.638272163982407
CHEMBL109332,COc1cc2ncc(C=O)c(Nc3cccc(Br)c3)c2cc1OC,5.470000200122707
CHEMBL109355,COc1cc2ncc(C#N)c(Nc3ccc(C)c(Cl)c3)c2cc1OC,5.829999526735649
CHEMBL109372,COc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1OC,5.987162775294828
CHEMBL1093815,O=C(Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3ccccc3)n2)c1)c1ccccc1Cl,7.080921907623926
CHEMBL1094194,CSc1ccc(CCCCCn2cc(CCN)c3cc(OCCc4ccc(O)cc4)ccc32)cc1,5.716698771296451
CHEMBL1094195,NCCc1cn(Cc2ccc(-c3cccc(C(F)(F)F)c3)cc2)c2ccc(OCCc3ccc(O)cc3)cc12,5.954677021213342
CHEMBL1094196,COc1ccc(-c2ccc(Cn3cc(CCN)c4cc(OCCc5ccc(O)cc5)ccc43)cc2)cc1,5.903089986991944
CHEMBL109428,COc1cc2ncc(C#N)c(Nc3cccc(Cl)c3)c2cc1OC,6.740000204918113
CHEMBL1094475,C#Cc1cccc(Nc2nc(N)nc3[nH]c(Cc4ccc(Cl)cc4Cl)cc23)c1,4.2580609222708015
CHEMBL1094492,COc1ccc(CCCCCn2c3c(c4cc(OCCc5ccc(O)cc5)ccc42)CC(N)CC3)cc1,5.863279432843593
CHEMBL109476,COc1cc2ncc(C#N)c(Nc3ccc(C)cc3)c2cc1OC,5.559999795538785
CHEMBL1094784,FC(F)(F)c1cccc(Nc2ncnc3[nH]c(Cc4ccc(Cl)cc4Cl)cc23)c1,4.480172006224281
CHEMBL1094808,Nc1nc(Nc2ccc(C(F)(F)F)c(F)c2)c2cc(Cc3ccc(Cl)cc3Cl)[nH]c2n1,4.037630664329979
CHEMBL1094825,NC1CCc2c(c3cc(OCCc4ccc(O)cc4)ccc3n2CCCCCc2ccc(C(F)(F)F)cc2)C1,5.560667306169737
CHEMBL1094835,COc1ccc(CCOc2ccc3c(c2)c(CCN)cn3CCCCCc2ccc(SC)cc2)cc1,5.610833915635467
CHEMBL109503,COc1cc2ncc(C#N)c(Nc3cccc(C(F)(F)F)c3)c2cc1OC,5.8399999311187
CHEMBL1095130,Nc1nc(Nc2ccc(Cl)cc2F)c2cc(Cc3ccc(Cl)cc3Cl)[nH]c2n1,5.6020599913279625
CHEMBL1095131,Nc1nc(Nc2cccc(F)c2)c2cc(Cc3ccc(Cl)cc3Cl)[nH]c2n1,3.791558643561433
