,RandomForest_Reg,SVR_Reg,XGB_Reg
RMSE,0.9017017534222145,0.9036441580755629,0.8780698183174012
MAE,0.6947149643483108,0.6922479092050577,0.6741150445979441
R2,0.5577849092849216,0.5539218306060006,0.5797115303842213
