,RandomForest_Cls,SVC_Cls,XGB_Cls
ROC-AUC,0.89251139663175,0.8727941969709925,0.8942557981933019
Accuracy,0.8362739453824926,0.8242980918248184,0.8373763610156875
F1,0.8869931246693659,0.8764729917663239,0.8868524537981202
